id_fecha_sk,fecha,anio,semestre,trimestre,mes_numero,mes_nombre,mes_corto,dia,dia_semana_numero,dia_semana_nombre,anio_mes,es_fin_de_semana
20250101,2025-01-01,2025,1,1,1,January,Jan,1,3,Wednesday,2025-01,0
20250102,2025-01-02,2025,1,1,1,January,Jan,2,4,Thursday,2025-01,0
20250103,2025-01-03,2025,1,1,1,January,Jan,3,5,Friday,2025-01,0
20250104,2025-01-04,2025,1,1,1,January,Jan,4,6,Saturday,2025-01,1
20250105,2025-01-05,2025,1,1,1,January,Jan,5,7,Sunday,2025-01,1
20250106,2025-01-06,2025,1,1,1,January,Jan,6,1,Monday,2025-01,0
20250107,2025-01-07,2025,1,1,1,January,Jan,7,2,Tuesday,2025-01,0
20250108,2025-01-08,2025,1,1,1,January,Jan,8,3,Wednesday,2025-01,0
20250109,2025-01-09,2025,1,1,1,January,Jan,9,4,Thursday,2025-01,0
20250110,2025-01-10,2025,1,1,1,January,Jan,10,5,Friday,2025-01,0
20250111,2025-01-11,2025,1,1,1,January,Jan,11,6,Saturday,2025-01,1
20250112,2025-01-12,2025,1,1,1,January,Jan,12,7,Sunday,2025-01,1
20250113,2025-01-13,2025,1,1,1,January,Jan,13,1,Monday,2025-01,0
20250114,2025-01-14,2025,1,1,1,January,Jan,14,2,Tuesday,2025-01,0
20250115,2025-01-15,2025,1,1,1,January,Jan,15,3,Wednesday,2025-01,0
20250116,2025-01-16,2025,1,1,1,January,Jan,16,4,Thursday,2025-01,0
20250117,2025-01-17,2025,1,1,1,January,Jan,17,5,Friday,2025-01,0
20250118,2025-01-18,2025,1,1,1,January,Jan,18,6,Saturday,2025-01,1
20250119,2025-01-19,2025,1,1,1,January,Jan,19,7,Sunday,2025-01,1
20250120,2025-01-20,2025,1,1,1,January,Jan,20,1,Monday,2025-01,0
20250121,2025-01-21,2025,1,1,1,January,Jan,21,2,Tuesday,2025-01,0
20250122,2025-01-22,2025,1,1,1,January,Jan,22,3,Wednesday,2025-01,0
20250123,2025-01-23,2025,1,1,1,January,Jan,23,4,Thursday,2025-01,0
20250124,2025-01-24,2025,1,1,1,January,Jan,24,5,Friday,2025-01,0
20250125,2025-01-25,2025,1,1,1,January,Jan,25,6,Saturday,2025-01,1
20250126,2025-01-26,2025,1,1,1,January,Jan,26,7,Sunday,2025-01,1
20250127,2025-01-27,2025,1,1,1,January,Jan,27,1,Monday,2025-01,0
20250128,2025-01-28,2025,1,1,1,January,Jan,28,2,Tuesday,2025-01,0
20250129,2025-01-29,2025,1,1,1,January,Jan,29,3,Wednesday,2025-01,0
20250130,2025-01-30,2025,1,1,1,January,Jan,30,4,Thursday,2025-01,0
20250131,2025-01-31,2025,1,1,1,January,Jan,31,5,Friday,2025-01,0
20250201,2025-02-01,2025,1,1,2,February,Feb,1,6,Saturday,2025-02,1
20250202,2025-02-02,2025,1,1,2,February,Feb,2,7,Sunday,2025-02,1
20250203,2025-02-03,2025,1,1,2,February,Feb,3,1,Monday,2025-02,0
20250204,2025-02-04,2025,1,1,2,February,Feb,4,2,Tuesday,2025-02,0
20250205,2025-02-05,2025,1,1,2,February,Feb,5,3,Wednesday,2025-02,0
20250206,2025-02-06,2025,1,1,2,February,Feb,6,4,Thursday,2025-02,0
20250207,2025-02-07,2025,1,1,2,February,Feb,7,5,Friday,2025-02,0
20250208,2025-02-08,2025,1,1,2,February,Feb,8,6,Saturday,2025-02,1
20250209,2025-02-09,2025,1,1,2,February,Feb,9,7,Sunday,2025-02,1
20250210,2025-02-10,2025,1,1,2,February,Feb,10,1,Monday,2025-02,0
20250211,2025-02-11,2025,1,1,2,February,Feb,11,2,Tuesday,2025-02,0
20250212,2025-02-12,2025,1,1,2,February,Feb,12,3,Wednesday,2025-02,0
